# Date,Active,SIR,Cumulative,Exp,SIS
2020-02-18,12,4.0,15,4.0,4.0
2020-02-19,12,5.0,15,6.0,6.0
2020-02-20,12,7.0,15,8.0,8.0
2020-02-21,29,9.0,35,10.0,10.0
2020-02-22,29,11.0,35,13.0,13.0
2020-02-23,28,15.0,35,16.0,16.0
2020-02-24,48,19.0,53,21.0,21.0
2020-02-25,51,25.0,57,27.0,28.0
2020-02-26,54,33.0,59,36.0,36.0
2020-02-27,54,43.0,60,46.0,46.0
2020-02-28,57,56.0,63,60.0,60.0
2020-02-29,60,73.0,68,77.0,78.0
2020-03-01,65,94.0,75,100.0,100.0
2020-03-02,85,123.0,100,130.0,130.0
2020-03-03,106,160.0,124,168.0,169.0
2020-03-04,138,208.0,158,218.0,218.0
2020-03-05,200,271.0,221,282.0,283.0
2020-03-06,289,353.0,319,365.0,366.0
2020-03-07,401,459.0,435,473.0,475.0
2020-03-08,504,597.0,541,613.0,615.0
2020-03-09,663,777.0,704,793.0,796.0
2020-03-10,949,1012.0,994,1028.0,1032.0
2020-03-11,1248,1317.0,1301,1331.0,1336.0
2020-03-12,1625,1714.0,1697,1725.0,1731.0
2020-03-13,2157,2231.0,2247,2234.0,2243.0
2020-03-14,2830,2903.0,2943,2894.0,2905.0
2020-03-15,3553,3778.0,3680,3749.0,3763.0
2020-03-16,4503,4917.0,4663,4856.0,4875.0
2020-03-17,6196,6399.0,6411,6291.0,6314.0
2020-03-18,0.0,8328.0,0.0,8149.0,8180.0
2020-03-19,0.0,10839.0,0.0,10556.0,10596.0
2020-03-20,0.0,14106.0,0.0,13674.0,13725.0
2020-03-21,0.0,18358.0,0.0,17713.0,17779.0
2020-03-22,0.0,23892.0,0.0,22945.0,23030.0
2020-03-23,0.0,31094.0,0.0,29723.0,29832.0
2020-03-24,0.0,40466.0,0.0,38503.0,38643.0
2020-03-25,0.0,52662.0,0.0,49876.0,50055.0
2020-03-26,0.0,68533.0,0.0,64608.0,64837.0
2020-03-27,0.0,89186.0,0.0,83692.0,83983.0
2020-03-28,0.0,116059.0,0.0,108413.0,108780.0
2020-03-29,0.0,151024.0,0.0,140436.0,140896.0
2020-03-30,0.0,196515.0,0.0,181918.0,182487.0
2020-03-31,0.0,255693.0,0.0,235653.0,236345.0
2020-04-01,0.0,332668.0,0.0,305260.0,306081.0
2020-04-02,0.0,432773.0,0.0,395429.0,396363.0
2020-04-03,0.0,562930.0,0.0,512231.0,513228.0
2020-04-04,0.0,732111.0,0.0,663534.0,664467.0
2020-04-05,0.0,951935.0,0.0,859530.0,860137.0
2020-04-06,0.0,1237419.0,0.0,1113419.0,1113199.0
2020-04-07,0.0,1607941.0,0.0,1442302.0,1440330.0
2020-04-08,0.0,2088431.0,0.0,1868331.0,1862955.0
2020-04-09,0.0,2710859.0,0.0,2420201.0,2408518.0
2020-04-10,0.0,3516032.0,0.0,3135083.0,3112066.0
2020-04-11,0.0,4555729.0,0.0,4061127.0,4018160.0
2020-04-12,0.0,5895138.0,0.0,5260708.0,5183146.0
2020-04-13,0.0,7615483.0,0.0,6814622.0,6677750.0
2020-04-14,0.0,9816593.0,0.0,8827534.0,8589906.0
2020-04-15,0.0,12618923.0,0.0,11435021.0,11027580.0
2020-04-16,0.0,16164249.0,0.0,14812712.0,14121149.0
2020-04-17,0.0,20613805.0,0.0,19188109.0,18024588.0
2020-04-18,0.0,26142182.0,0.0,24855917.0,22914342.0
2020-04-19,0.0,32925014.0,0.0,32197888.0,28984323.0
2020-04-20,0.0,41118544.0,0.0,41708540.0,36435115.0
2020-04-21,0.0,50830312.0,0.0,54028460.0,45455578.0
2020-04-22,0.0,62082666.0,0.0,69987453.0,56195853.0
2020-04-23,0.0,74774837.0,0.0,90660433.0,68732900.0
2020-04-24,0.0,88653820.0,0.0,117439824.0,83033201.0
2020-04-25,0.0,103306884.0,0.0,152129343.0,98921335.0
2020-04-26,0.0,118186136.0,0.0,197065496.0,116065977.0
2020-04-27,0.0,132666755.0,0.0,255274946.0,133993705.0
2020-04-28,0.0,146127868.0,0.0,330678374.0,152134220.0
2020-04-29,0.0,158035089.0,0.0,428354559.0,169889804.0
2020-04-30,0.0,168002581.0,0.0,554882457.0,186711999.0
2020-05-01,0.0,175821020.0,0.0,718784321.0,202165420.0
2020-05-02,0.0,181450819.0,0.0,931099720.0,215964060.0
2020-05-03,0.0,184990392.0,0.0,1206129103.0,227976227.0
2020-05-04,0.0,186633163.0,0.0,1562397004.0,238204252.0
2020-05-05,0.0,186625150.0,0.0,2023899757.0,246750239.0
2020-05-06,0.0,185230247.0,0.0,2621721762.0,253778866.0
2020-05-07,0.0,182705730.0,0.0,3396129168.0,259484808.0
2020-05-08,0.0,179287383.0,0.0,4399281988.0,264068236.0
2020-05-09,0.0,175182212.0,0.0,5698747324.0,267718798.0
2020-05-10,0.0,170566373.0,0.0,7382050334.0,270606714.0
2020-05-11,0.0,165586321.0,0.0,9562569461.0,272879080.0
2020-05-12,0.0,160361640.0,0.0,12387173016.0,274659559.0
2020-05-13,0.0,154988580.0,0.0,16046111451.0,276050014.0
2020-05-14,0.0,149543671.0,0.0,20785831632.0,277133075.0
2020-05-15,0.0,144087102.0,0.0,26925576201.0,277974999.0
2020-05-16,0.0,138665696.0,0.0,34878886091.0,278628450.0
2020-05-17,0.0,133315460.0,0.0,45181454459.0,279135001.0
2020-05-18,0.0,128063707.0,0.0,58527208171.0,279527307.0
2020-05-19,0.0,122930797.0,0.0,75815047066.0,279830912.0
2020-05-20,0.0,117931560.0,0.0,98209389124.0,280065738.0
2020-05-21,0.0,113076434.0,0.0,127218599545.0,280247288.0
2020-05-22,0.0,108372386.0,0.0,164796586299.0,280387600.0
2020-05-23,0.0,103823646.0,0.0,213474405101.0,280496014.0
2020-05-24,0.0,99432293.0,0.0,276530738027.0,280579764.0
2020-05-25,0.0,95198727.0,0.0,358212728300.0,280644451.0
2020-05-26,0.0,91122035.0,0.0,464022045548.0,280694407.0
2020-05-27,0.0,87200299.0,0.0,601085449354.0,280732985.0
2020-05-28,0.0,83430826.0,0.0,778634810331.0,280762773.0
2020-05-29,0.0,79810342.0,0.0,1008628920417.0,280785773.0
2020-05-30,0.0,76335141.0,0.0,1306558974249.0,280803531.0
2020-05-31,0.0,73001207.0,0.0,1692491974636.0,280817241.0
2020-06-01,0.0,69804312.0,0.0,2192422340410.0,280827826.0
2020-06-02,0.0,66740088.0,0.0,2840022753882.0,280835998.0
2020-06-03,0.0,63804093.0,0.0,3678912175772.0,280842307.0
2020-06-04,0.0,60991856.0,0.0,4765593789184.0,280847177.0
2020-06-05,0.0,58298919.0,0.0,6173260757100.0,280850937.0
2020-06-06,0.0,55720863.0,0.0,7996726129205.0,280853839.0
2020-06-07,0.0,53253330.0,0.0,10358808950678.0,280856080.0
2020-06-08,0.0,50892050.0,0.0,13418606707657.0,280857810.0
2020-06-09,0.0,48632843.0,0.0,17382211297853.0,280859145.0
2020-06-10,0.0,46471639.0,0.0,22516590297769.0,280860176.0
2020-06-11,0.0,44404477.0,0.0,29167568495742.0,280860972.0
2020-06-12,0.0,42427520.0,0.0,37783120832380.0,280861587.0
2020-06-13,0.0,40537047.0,0.0,48943545638458.0,280862061.0
2020-06-14,0.0,38729463.0,0.0,63400550481022.0,280862427.0
2020-06-15,0.0,37001298.0,0.0,82127883234887.0,280862710.0
2020-06-16,0.0,35349204.0,0.0,106386918622452.0,280862928.0
2020-06-17,0.0,33769956.0,0.0,137811617786498.0,280863096.0
2020-06-18,0.0,32260450.0,0.0,178518583326310.0,280863226.0
2020-06-19,0.0,30817699.0,0.0,231249622526057.0,280863327.0
